,2022（令和４）年,国民生活基礎調査,,,
,２健康票,第137表　総傷病数，性・年齢（３区分階級）・傷病（複数回答）・都道府県－21大都市（再掲）別,,,
,注：通院者には、入院者は含まない。,,,,
,傷病（複数回答）,総　　数,65歳以上,65歳以上人口数,65歳以上の傷病数と人口の割合
石　　　川,脂質異常症（高コレステロール血症等）,71,47,370,12.7%
石　　　川,甲状腺の病気,17,8,370,2.2%
石　　　川,うつ病やその他のこころの病気,20,6,370,1.6%
石　　　川,認知症,8,8,370,2.2%
石　　　川,パーキンソン病,2,1,370,0.3%
石　　　川,その他の神経の病気（神経痛・麻痺等）,9,5,370,1.4%
石　　　川,眼の病気,54,39,370,10.5%
石　　　川,耳の病気,9,8,370,2.2%
石　　　川,高血圧症,155,114,370,30.8%
石　　　川,脳卒中（脳出血、脳梗塞等）,11,9,370,2.4%
石　　　川,狭心症・心筋梗塞,23,20,370,5.4%
石　　　川,その他の循環器系の病気,21,16,370,4.3%
石　　　川,急性鼻咽頭炎（かぜ）,2,0,370,0.0%
石　　　川,アレルギー性鼻炎,22,7,370,1.9%
石　　　川,慢性閉塞性肺疾患（COPD）,1,1,370,0.3%
石　　　川,喘息,14,6,370,1.6%
石　　　川,その他の呼吸器系の病気,13,9,370,2.4%
石　　　川,胃・十二指腸の病気,16,11,370,3.0%
石　　　川,肝臓・胆のうの病気,9,5,370,1.4%
